"","title","area","idep","city","text"
"1","ssr global mobility analyst","administración  oficina","la paz","la paz","bairesdev es la empresa líder de desarrollo de software de américa. con más de 1000 empleados trabajando en proyectos alrededor del mundo, un crecimiento anual sostenido de más del 50%, y reconocida por inc. en el top 10 de empresas privadas de mayor crecimiento de silicon valley, bairesdev se ha posicionado como referente en la industria del software, impulsando la transformación digital de algunas de las empresas más importantes en el mundo, como google, rolls-royce, pinterest, ey, siriusxm, motorola & viacomcbs.reconocida por clutch co como una compañía top de servicios tecnológicos b2b, bairesdev cuenta con oficinas en estados unidos, canadá, europa y américa latina y ofrece un entorno de trabajo excepcional donde sus empleados pueden destacarse como profesionales, desarrollándose en equipos multiculturales con horarios flexibles y múltiples oportunidades de crecimiento.  bairesdev tiene como misión ofrecer servicios personalizados de desarrollo de software reconocidos por su excelencia a nivel mundial. la empresa contrata únicamente al top 1% del talento del mercado con el objetivo de crear equipos sólidos que ofrezcan soluciones tecnológicas de principio a fin. prepárate para trabajar en escenarios dinámicos con líderes en la industria y en proyectos altamente innovadores!buscamos un analista semi senior para sumarse al equipo de global mobility y participar en distintos proyectos conformados por equipos multiculturales distribuidos en todo el mundo. buscamos personas proactivas, dinámicas y team players, con gran capacidad de organización, acostumbradas a manejar múltiples tareas y con marcada atención al detalle. se trata de una excelente oportunidad para aquellos profesionales que busquen desarrollarse en una de las empresas con mayor crecimiento de la industria!principales responsabilidades:- dar soporte a los empleados de baires en temas relacionados con procesos de relocación internacional.- planificar y coordinar viajes para empleados y clientes, de acuerdo con las necesidades de la organización.- colaborar en el proceso de visas de viaje y trabajo para empleados.- organizar y coordinar: viajes, transporte, alojamiento, seguro de salud, comidas, alquiler de automóviles entre otros para empresas nacionales/internacionales.- hacer seguimiento de los estados de los casos asignados.- brindar asistencia a los empleados sobre las políticas, procesos y operaciones a la hora de realizar viajes corporativos.¿qué buscamos?- estudiante universitario avanzado o recién graduado de: licenciatura en relaciones internacionales, traducción, administración de empresas, hotelería, turismo o afines.- gestión avanzada de herramientas office.- nivel de inglés avanzado/bilingüe tanto oral como escrito.- habilidad de manejar diferentes tareas en simultáneo y marcada orientación al servicio.- capacidad para trabajar en equipo.- experiencia anterior en posiciones similares es deseable.- tener un nivel intermedio de portugués es un plus pero no es excluyente.¿qué ofrecemos?- excelente plan de compensación, muy por encima de la media del mercado.- posibilidad de trabajo remoto y con horarios flexibles.- planes de capacitación.- amplias posibilidades de crecimiento y desarrollo profesional gracias a nuestro sistema de mentorship.si está interesado en formar parte de un equipo compuesto por los mejores profesionales y trabajar 100% orientado a objetivos en un entorno innovador, pero con la estructura y los recursos de un líder de mercado multinacional, ¡no dude en postularse!"
"2","help desk analyst","informática  telecomunicaciones","la paz","la paz","bairesdev es la empresa líder de desarrollo de software de américa. con más de 1000 empleados trabajando en proyectos alrededor del mundo, un crecimiento anual sostenido de más del 50%, y reconocida por inc. en el top 10 de empresas privadas de mayor crecimiento de silicon valley, bairesdev se ha posicionado como referente en la industria del software, impulsando la transformación digital de algunas de las empresas más importantes en el mundo, como google, rolls-royce, pinterest, ey, siriusxm, motorola & viacomcbs.reconocida por clutch co como una compañía top de servicios tecnológicos b2b, bairesdev cuenta con oficinas en estados unidos, canadá, europa y américa latina y ofrece un entorno de trabajo excepcional donde sus empleados pueden destacarse como profesionales, desarrollándose en equipos multiculturales con horarios flexibles y múltiples oportunidades de crecimiento.  bairesdev tiene como misión ofrecer servicios personalizados de desarrollo de software reconocidos por su excelencia a nivel mundial. la empresa contrata únicamente al top 1% del talento del mercado con el objetivo de crear equipos sólidos que ofrezcan soluciones tecnológicas de principio a fin. prepárate para trabajar en escenarios dinámicos con líderes en la industria y en proyectos altamente innovadores!buscamos un help desk para sumarse al equipo de soporte tecnico y participar en distintos proyectos conformados por equipos multiculturales distribuidos en todo el mundo. buscamos personas proactivas, dinámicas y team players, con gran capacidad de organización, acostumbradas a manejar múltiples tareas y con marcada atención al detalle. se trata de una excelente oportunidad para aquellos profesionales que busquen desarrollarse en una de las empresas con mayor crecimiento de la industria!principales responsabilidades:- dar soporte físico en la oficina.- asistir en soporte telefónico y virtual a empleados.- mantener y actualizar el hardware.- asistir en seguridad y tareas generales de it.¿qué buscamos?- poseer capacidad resolutiva.- muy buen nivel de inglés.- buena presencia y excelente manejo de relaciones interpersonales.¿qué ofrecemos?- excelente plan de compensación, muy por encima de la media del mercado.- posibilidad de trabajo remoto y con horarios flexibles.- planes de capacitación.- amplias posibilidades de crecimiento y desarrollo profesional gracias a nuestro sistema de mentorship.si está interesado en formar parte de un equipo compuesto por los mejores profesionales y trabajar 100% orientado a objetivos en un entorno innovador, pero con la estructura y los recursos de un líder de mercado multinacional, ¡no dude en postularse!"
"3","pmo assistant","administración  oficina","la paz","la paz","bairesdev es la empresa líder de desarrollo de software de américa. con más de 1000 empleados trabajando en proyectos alrededor del mundo, un crecimiento anual sostenido de más del 50%, y reconocida por inc. en el top 10 de empresas privadas de mayor crecimiento de silicon valley, bairesdev se ha posicionado como referente en la industria del software, impulsando la transformación digital de algunas de las empresas más importantes en el mundo, como google, rolls-royce, pinterest, ey, siriusxm, motorola & viacomcbs.reconocida por clutch co como una compañía top de servicios tecnológicos b2b, bairesdev cuenta con oficinas en estados unidos, canadá, europa y américa latina y ofrece un entorno de trabajo excepcional donde sus empleados pueden destacarse como profesionales, desarrollándose en equipos multiculturales con horarios flexibles y múltiples oportunidades de crecimiento.  bairesdev tiene como misión ofrecer servicios personalizados de desarrollo de software reconocidos por su excelencia a nivel mundial. la empresa contrata únicamente al top 1% del talento del mercado con el objetivo de crear equipos sólidos que ofrezcan soluciones tecnológicas de principio a fin. prepárate para trabajar en escenarios dinámicos con líderes en la industria y en proyectos altamente innovadores!buscamos un asistente pmo para sumarse a nuestro equipo de pmo y participar en distintos proyectos conformados por equipos multiculturales distribuidos en todo el mundo. buscamos personas proactivas, dinámicas y team players, con gran capacidad de organización, acostumbradas a manejar múltiples tareas y con marcada atención al detalle. se trata de una excelente oportunidad para aquellos profesionales que busquen desarrollarse en una de las empresas con mayor crecimiento de la industria!principales responsabilidades:- asegurar y mejorar la calidad de la información y los procesos en bairesdev.- revisar la información existente para corroborar su consistencia y actualización.- asegurar el correcto cumplimiento de los procesos establecidos.- dar soporte al pmo manager en la creación e implementación de nuevos procesos- colaborar con la implementación de nuevas iniciativas para la compañía.- buscar nuevas ideas y soluciones disruptivas y originales.- preparar reportes y monitoreo de kpis.¿qué buscamos?- al menos 3 años de experiencia laboral en posiciones afines.- manejo de excel  y office suite.- se valorará experiencia en empresas de it o consultoría.- excelente nivel de inglés (escrito y oral).- proactividad.¿qué ofrecemos?- excelente plan de compensación, muy por encima de la media del mercado.- posibilidad de trabajo remoto y con horarios flexibles.- planes de capacitación.- amplias posibilidades de crecimiento y desarrollo profesional gracias a nuestro sistema de mentorship.si está interesado en formar parte de un equipo compuesto por los mejores profesionales y trabajar 100% orientado a objetivos en un entorno innovador, pero con la estructura y los recursos de un líder de mercado multinacional, ¡no dude en postularse!"
"4","marketing","mercadotécnia  publicidad  comunicación","cochabamba","cochabamba","bairesdev es la empresa líder de desarrollo de software de américa. con más de 1000 empleados trabajando en proyectos alrededor del mundo, un crecimiento anual sostenido de más del 50%, y reconocida por inc. en el top 10 de empresas privadas de mayor crecimiento de silicon valley, bairesdev se ha posicionado como referente en la industria del software, impulsando la transformación digital de algunas de las empresas más importantes en el mundo, como google, rolls-royce, pinterest, ey, siriusxm, motorola & viacomcbs.reconocida por clutch co como una compañía top de servicios tecnológicos b2b, bairesdev cuenta con oficinas en estados unidos, canadá, europa y américa latina y ofrece un entorno de trabajo excepcional donde sus empleados pueden destacarse como profesionales, desarrollándose en equipos multiculturales con horarios flexibles y múltiples oportunidades de crecimiento.  bairesdev tiene como misión ofrecer servicios personalizados de desarrollo de software reconocidos por su excelencia a nivel mundial. la empresa contrata únicamente al top 1% del talento del mercado con el objetivo de crear equipos sólidos que ofrezcan soluciones tecnológicas de principio a fin. prepárate para trabajar en escenarios dinámicos con líderes en la industria y en proyectos altamente innovadores!buscamos marketing - employer branding team leader para sumarse al equipo de marketing. nos orientamos a personas proactivas, dinámicas y team players, con gran capacidad de organización, acostumbradas a manejar múltiples tareas y con marcada atención al detalle. ¡se trata de una excelente oportunidad para aquellos profesionales que busquen desarrollarse en una de las empresas con mayor crecimiento de la industria!principales responsabilidades:- comprender el valor de marca actual en nuestro target de potenciales empleados.- identificar fortalezas y debilidades y desarrollar un plan para abordarlas.- asegurar la coordinación permanente con los equipos de reclutamiento, prensa y relaciones públicas para maximizar los resultados.- colaborar con el departamento de recursos humanos para desarrollar e implementar estrategias y planes adecuados para respaldar la marca de nuestro empleador.- trabajar internamente con los equipos de marketing para garantizar la alineación de la marca y la implementación de acciones.- desarrollar una estrategia de marca de empleador completa, con calendario de contenido, personas objetivo, temas clave y canales de distribución.- administrar la reputación del empleador en varios sitios de reviews, incluida la respuesta a las revisiones, y alentar a los empleados actuales a dejar comentarios.¿qué buscamos?- experiencia laboral comprobada en branding de empleadores o campo equivalente.- estar familiarizado con las prácticas de marketing digital como: redes sociales, rendimiento, contenido, análisis.- ser altamente motivado, flexible y orientado al servicio.- tener excelentes habilidades de priorización de tareas, gestión del tiempo y organización.- experiencia en industrias de ti (deseable).¿qué ofrecemos?- excelente plan de compensación, por encima de la media del mercado.- posibilidad de trabajo remoto y con horarios flexibles.- planes de capacitación.- amplias posibilidades de crecimiento y desarrollo profesional gracias a nuestro sistema de mentorías.si está interesado en formar parte de un equipo compuesto por los mejores profesionales y trabajar 100% orientado a objetivos en un entorno innovador, pero con la estructura y los recursos de un líder de mercado multinacional, ¡no dude en postularse!"
"5","help desk analyst","informática  telecomunicaciones","cochabamba","cochabamba","bairesdev es la empresa líder de desarrollo de software de américa. con más de 1000 empleados trabajando en proyectos alrededor del mundo, un crecimiento anual sostenido de más del 50%, y reconocida por inc. en el top 10 de empresas privadas de mayor crecimiento de silicon valley, bairesdev se ha posicionado como referente en la industria del software, impulsando la transformación digital de algunas de las empresas más importantes en el mundo, como google, rolls-royce, pinterest, ey, siriusxm, motorola & viacomcbs.reconocida por clutch co como una compañía top de servicios tecnológicos b2b, bairesdev cuenta con oficinas en estados unidos, canadá, europa y américa latina y ofrece un entorno de trabajo excepcional donde sus empleados pueden destacarse como profesionales, desarrollándose en equipos multiculturales con horarios flexibles y múltiples oportunidades de crecimiento.  bairesdev tiene como misión ofrecer servicios personalizados de desarrollo de software reconocidos por su excelencia a nivel mundial. la empresa contrata únicamente al top 1% del talento del mercado con el objetivo de crear equipos sólidos que ofrezcan soluciones tecnológicas de principio a fin. prepárate para trabajar en escenarios dinámicos con líderes en la industria y en proyectos altamente innovadores!buscamos un help desk para sumarse al equipo de soporte tecnico y participar en distintos proyectos conformados por equipos multiculturales distribuidos en todo el mundo. buscamos personas proactivas, dinámicas y team players, con gran capacidad de organización, acostumbradas a manejar múltiples tareas y con marcada atención al detalle. se trata de una excelente oportunidad para aquellos profesionales que busquen desarrollarse en una de las empresas con mayor crecimiento de la industria!principales responsabilidades:- dar soporte físico en la oficina.- asistir en soporte telefónico y virtual a empleados.- mantener y actualizar el hardware.- asistir en seguridad y tareas generales de it.¿qué buscamos?- poseer capacidad resolutiva.- muy buen nivel de inglés.- buena presencia y excelente manejo de relaciones interpersonales.¿qué ofrecemos?- excelente plan de compensación, muy por encima de la media del mercado.- posibilidad de trabajo remoto y con horarios flexibles.- planes de capacitación.- amplias posibilidades de crecimiento y desarrollo profesional gracias a nuestro sistema de mentorship.si está interesado en formar parte de un equipo compuesto por los mejores profesionales y trabajar 100% orientado a objetivos en un entorno innovador, pero con la estructura y los recursos de un líder de mercado multinacional, ¡no dude en postularse!"
"6","staffing analyst","recursos humanos","la paz","la paz","bairesdev es la empresa líder de desarrollo de software de américa. con más de 1000 empleados trabajando en proyectos alrededor del mundo, un crecimiento anual sostenido de más del 50%, y reconocida por inc. en el top 10 de empresas privadas de mayor crecimiento de silicon valley, bairesdev se ha posicionado como referente en la industria del software, impulsando la transformación digital de algunas de las empresas más importantes en el mundo, como google, rolls-royce, pinterest, ey, siriusxm, motorola & viacomcbs.reconocida por clutch co como una compañía top de servicios tecnológicos b2b, bairesdev cuenta con oficinas en estados unidos, canadá, europa y américa latina y ofrece un entorno de trabajo excepcional donde sus empleados pueden destacarse como profesionales, desarrollándose en equipos multiculturales con horarios flexibles y múltiples oportunidades de crecimiento.  bairesdev tiene como misión ofrecer servicios personalizados de desarrollo de software reconocidos por su excelencia a nivel mundial. la empresa contrata únicamente al top 1% del talento del mercado con el objetivo de crear equipos sólidos que ofrezcan soluciones tecnológicas de principio a fin. prepárate para trabajar en escenarios dinámicos con líderes en la industria y en proyectos altamente innovadores!buscamos un staffing analyst para sumarse al equipo de recursos humanos y participar en distintos proyectos conformados por equipos multiculturales distribuidos en todo el mundo. buscamos personas proactivas, dinámicas y team players, con gran capacidad de organización, acostumbradas a manejar múltiples tareas y con marcada atención al detalle. se trata de una excelente oportunidad para aquellos profesionales que busquen desarrollarse en una de las empresas con mayor crecimiento de la industria!principales responsabilidades:- ejecutar la estrategia de staffing para los openings de la compañía.- relevar correctamente la información relacionada al perfil y asignación de los openings requeridos.- trabajar junto con el área de recruiting en la identificación de candidatos para los distintos openings.- presentación de candidatos a los distintos clientes y leads.- colaborar junto con las áreas de operaciones y client services para identificar posibilidades de farming en las distintas cuentas.- proponer mejoras a los procesos de staffing y recruiting.- cerrar el proceso de ingreso de nuevos empleados a la empresa.¿qué buscamos?- capacidad analítica comprobable, extrema atención al detalle y la capacidad de priorizar de manera efectiva, así como habilidades de multitasking.- licenciatura en negocios, sistemas, rrhh o en una disciplina relacionada.- 5+ años de experiencia laboral comprobable.- 3+ años experiencia en staffing o gestión de proyectos.- deseable: 1+ años de experiencia en reclutamiento de it.- muy buen nivel de inglés para el trabajo diario.¿qué ofrecemos?- excelente plan de compensación, muy por encima de la media del mercado.- posibilidad de trabajo remoto y con horarios flexibles.- planes de capacitación.- amplias posibilidades de crecimiento y desarrollo profesional gracias a nuestro sistema de mentorship.si está interesado en formar parte de un equipo compuesto por los mejores profesionales y trabajar 100% orientado a objetivos en un entorno innovador, pero con la estructura y los recursos de un líder de mercado multinacional, ¡no dude en postularse!"
"7","pmo manager","dirección  gerencia","cochabamba","cochabamba","bairesdev es la empresa líder de desarrollo de software de américa. con más de 1000 empleados trabajando en proyectos alrededor del mundo, un crecimiento anual sostenido de más del 50%, y reconocida por inc. en el top 10 de empresas privadas de mayor crecimiento de silicon valley, bairesdev se ha posicionado como referente en la industria del software, impulsando la transformación digital de algunas de las empresas más importantes en el mundo, como google, rolls-royce, pinterest, ey, siriusxm, motorola & viacomcbs.reconocida por clutch co como una compañía top de servicios tecnológicos b2b, bairesdev cuenta con oficinas en estados unidos, canadá, europa y américa latina y ofrece un entorno de trabajo excepcional donde sus empleados pueden destacarse como profesionales, desarrollándose en equipos multiculturales con horarios flexibles y múltiples oportunidades de crecimiento.  bairesdev tiene como misión ofrecer servicios personalizados de desarrollo de software reconocidos por su excelencia a nivel mundial. la empresa contrata únicamente al top 1% del talento del mercado con el objetivo de crear equipos sólidos que ofrezcan soluciones tecnológicas de principio a fin. prepárate para trabajar en escenarios dinámicos con líderes en la industria y en proyectos altamente innovadores!buscamos pmo managers para sumarse al equipo de management y participar en distintos proyectos conformados por equipos multiculturales distribuidos en todo el mundo. buscamos personas proactivas, dinámicas y team players, con gran capacidad de organización, acostumbradas a manejar múltiples tareas y con marcada atención al detalle. se trata de una excelente oportunidad para aquellos profesionales que busquen desarrollarse en una de las empresas con mayor crecimiento de la industria!principales responsabilidades:- estar profundamente involucrado en mejorar la consistencia y eficiencia de la capacidad de entrega de proyectos. - liderar las prácticas con orientación a la satisfacción del cliente y de sus expectativas. - asegurarse de que las operaciones sean manejadas, supervisando la interfaz de los proyectos en colaboración con los project managers, equipos, tecnologías e interfaces.- el pmo manager supervisa la implementación de procesos y se asegura de que el contenido relativo a la información llegue a los patrocinadores y viceversa.¿qué buscamos?- amplio conocimiento en manejo de programas, proyectos, portfolios y metodología para el desarrollo de sistemas.- capacidad para liderar un equipo geográficamente distribuido.- desarrollar y desplegar iniciativas por influencia.- licenciatura o master.- desarrollar y llevar a cabo presentaciones, entrenamientos y demostraciones.- 10-15 años de experiencia en it y empresas.- 3-5 años de experiencia como project manager.- 3-5 años de experiencia en liderazgo.¿qué ofrecemos?- excelente plan de compensación, muy por encima de la media del mercado.- posibilidad de trabajo remoto y con horarios flexibles.- planes de capacitación.- amplias posibilidades de crecimiento y desarrollo profesional gracias a nuestro sistema de mentorship.si está interesado en formar parte de un equipo compuesto por los mejores profesionales y trabajar 100% orientado a objetivos en un entorno innovador, pero con la estructura y los recursos de un líder de mercado multinacional, ¡no dude en postularse!"
"8","manager de mejora continua","otros","la paz","el alto","bairesdev es la empresa líder de desarrollo de software de américa. con más de 1000 empleados trabajando en proyectos alrededor del mundo, un crecimiento anual sostenido de más del 50%, y reconocida por inc. en el top 10 de empresas privadas de mayor crecimiento de silicon valley, bairesdev se ha posicionado como referente en la industria del software, impulsando la transformación digital de algunas de las empresas más importantes en el mundo, como google, rolls-royce, pinterest, ey, siriusxm, motorola & viacomcbs.reconocida por clutch co como una compañía top de servicios tecnológicos b2b, bairesdev cuenta con oficinas en estados unidos, canadá, europa y américa latina y ofrece un entorno de trabajo excepcional donde sus empleados pueden destacarse como profesionales, desarrollándose en equipos multiculturales con horarios flexibles y múltiples oportunidades de crecimiento.  bairesdev tiene como misión ofrecer servicios personalizados de desarrollo de software reconocidos por su excelencia a nivel mundial. la empresa contrata únicamente al top 1% del talento del mercado con el objetivo de crear equipos sólidos que ofrezcan soluciones tecnológicas de principio a fin. prepárate para trabajar en escenarios dinámicos con líderes en la industria y en proyectos altamente innovadores!buscamos un finance process manager para sumarse al equipo de finanzas y participar en distintos proyectos conformados por equipos multiculturales distribuidos en todo el mundo. buscamos personas proactivas, dinámicas y team players, con gran capacidad de organización, acostumbradas a manejar múltiples tareas y con marcada atención al detalle. se trata de una excelente oportunidad para aquellos profesionales que busquen desarrollarse en una de las empresas con mayor crecimiento de la industria!principales responsabilidades:- excelentes habilidades de comunicación verbal y escrita; habilidades interpersonales y de presentación.- habilidades organizativas comprobadas.- capacidad para priorizar y cumplir plazos.- fuerte resolución de problemas, pensamiento crítico.- capacidad probada en liderazgo de equipo.- comodidad operando en un entorno altamente flexible, dinámico y emprendedor.¿qué buscamos?- experiencia comprobada en puestos similares y empresas de servicios.- implementación de erp de clase mundial (sap, etc.).- licenciatura en contabilidad, finanzas, gestión / negocios, tecnología de la información o campos relacionados.- buena capacidad de comunicación.- posiciones similares en empresas que ofrecen tercerización de desarrollo de software (deseable).- experiencia con sap u otro erp de clase mundial (deseable).- competencia en arg y principios contables de ee. uu. (deseable).¿qué ofrecemos?- excelente plan de compensación, muy por encima de la media del mercado.- posibilidad de trabajo remoto y con horarios flexibles.- planes de capacitación.- amplias posibilidades de crecimiento y desarrollo profesional gracias a nuestro sistema de mentorship.si está interesado en formar parte de un equipo compuesto por los mejores profesionales y trabajar 100% orientado a objetivos en un entorno innovador, pero con la estructura y los recursos de un líder de mercado multinacional, ¡no dude en postularse!"
"9","manager de mejora continua","otros","santa cruz","santa cruz de la sierra","bairesdev es la empresa líder de desarrollo de software de américa. con más de 1000 empleados trabajando en proyectos alrededor del mundo, un crecimiento anual sostenido de más del 50%, y reconocida por inc. en el top 10 de empresas privadas de mayor crecimiento de silicon valley, bairesdev se ha posicionado como referente en la industria del software, impulsando la transformación digital de algunas de las empresas más importantes en el mundo, como google, rolls-royce, pinterest, ey, siriusxm, motorola & viacomcbs.reconocida por clutch co como una compañía top de servicios tecnológicos b2b, bairesdev cuenta con oficinas en estados unidos, canadá, europa y américa latina y ofrece un entorno de trabajo excepcional donde sus empleados pueden destacarse como profesionales, desarrollándose en equipos multiculturales con horarios flexibles y múltiples oportunidades de crecimiento.  bairesdev tiene como misión ofrecer servicios personalizados de desarrollo de software reconocidos por su excelencia a nivel mundial. la empresa contrata únicamente al top 1% del talento del mercado con el objetivo de crear equipos sólidos que ofrezcan soluciones tecnológicas de principio a fin. prepárate para trabajar en escenarios dinámicos con líderes en la industria y en proyectos altamente innovadores!buscamos un finance process manager para sumarse al equipo de finanzas y participar en distintos proyectos conformados por equipos multiculturales distribuidos en todo el mundo. buscamos personas proactivas, dinámicas y team players, con gran capacidad de organización, acostumbradas a manejar múltiples tareas y con marcada atención al detalle. se trata de una excelente oportunidad para aquellos profesionales que busquen desarrollarse en una de las empresas con mayor crecimiento de la industria!principales responsabilidades:- excelentes habilidades de comunicación verbal y escrita; habilidades interpersonales y de presentación.- habilidades organizativas comprobadas.- capacidad para priorizar y cumplir plazos.- fuerte resolución de problemas, pensamiento crítico.- capacidad probada en liderazgo de equipo.- comodidad operando en un entorno altamente flexible, dinámico y emprendedor.¿qué buscamos?- experiencia comprobada en puestos similares y empresas de servicios.- implementación de erp de clase mundial (sap, etc.).- licenciatura en contabilidad, finanzas, gestión / negocios, tecnología de la información o campos relacionados.- buena capacidad de comunicación.- posiciones similares en empresas que ofrecen tercerización de desarrollo de software (deseable).- experiencia con sap u otro erp de clase mundial (deseable).- competencia en arg y principios contables de ee. uu. (deseable).¿qué ofrecemos?- excelente plan de compensación, muy por encima de la media del mercado.- posibilidad de trabajo remoto y con horarios flexibles.- planes de capacitación.- amplias posibilidades de crecimiento y desarrollo profesional gracias a nuestro sistema de mentorship.si está interesado en formar parte de un equipo compuesto por los mejores profesionales y trabajar 100% orientado a objetivos en un entorno innovador, pero con la estructura y los recursos de un líder de mercado multinacional, ¡no dude en postularse!"
"10","vp of client services","dirección  gerencia","cochabamba","cochabamba","bairesdev es la empresa líder de desarrollo de software de américa. con más de 1000 empleados trabajando en proyectos alrededor del mundo, un crecimiento anual sostenido de más del 50%, y reconocida por inc. en el top 10 de empresas privadas de mayor crecimiento de silicon valley, bairesdev se ha posicionado como referente en la industria del software, impulsando la transformación digital de algunas de las empresas más importantes en el mundo, como google, rolls-royce, pinterest, ey, siriusxm, motorola & viacomcbs.reconocida por clutch co como una compañía top de servicios tecnológicos b2b, bairesdev cuenta con oficinas en estados unidos, canadá, europa y américa latina y ofrece un entorno de trabajo excepcional donde sus empleados pueden destacarse como profesionales, desarrollándose en equipos multiculturales con horarios flexibles y múltiples oportunidades de crecimiento.  bairesdev tiene como misión ofrecer servicios personalizados de desarrollo de software reconocidos por su excelencia a nivel mundial. la empresa contrata únicamente al top 1% del talento del mercado con el objetivo de crear equipos sólidos que ofrezcan soluciones tecnológicas de principio a fin. prepárate para trabajar en escenarios dinámicos con líderes en la industria y en proyectos altamente innovadores!buscamos un chief operating officer para sumarse al equipo de operaciones y participar en distintos proyectos conformados por equipos multiculturales distribuidos en todo el mundo. buscamos personas proactivas, dinámicas y team players, con gran capacidad de organización, acostumbradas a manejar múltiples tareas y con marcada atención al detalle. se trata de una excelente oportunidad para aquellos profesionales que busquen desarrollarse en una de las empresas con mayor crecimiento de la industria!principales responsabilidades: - liderar (de forma directa e indirecta) las operaciones de más del 70% del headcount de la compañía incluyendo staffing, planificación de recursos y equipos y ejecución de proyectos.- trabajar directamente con el ceo en la definición y ejecución de planes estratégicos para el área.- definir y desarrollar estrategias para asegurar relaciones duraderas con nuestros clientes, identificar nuevas oportunidades e incrementar nuestra participación en proyectos y/o líneas de negocio.- dar soporte a las áreas de ventas y preventas.- definir e implementar estrategias para impulsar el área en términos de resultado y eficiencia, asegurando el cumplimiento de objetivos a corto, mediano y largo plazo.- generar y analizar reportes y datos estadísticos de distinto tipo para detectar problemas y definir soluciones.- colaborar en la definición de procesos junto al área de talent acquisition para planificar la incorporación de recursos y estrategias de staffing de los distintos proyectos.- desarrollar planes de carrera profesional y estimular la definición/implementación de políticas de retention junto al área de hr.- identificar las mejores prácticas de la industria para perfeccionar procesos e impulsar mejoras continuas sobre la calidad de los servicios ofrecidos.- gestionar el presupuesto del área.¿qué buscamos?- experiencia previa en roles de management (idealmente en empresas de servicios) liderando equipos y proyectos de gran magnitud.- sólidos skills de comunicación, negociación y relaciones interpersonales.- capacidad analítica y proactividad.- marcado nivel de atención al detalle en el trabajo diario.- experiencia previa en manejo de p&l.- nivel de inglés avanzado, tanto oral como escrito.- disponibilidad para viajes ocasionales a usa y europa es un plus importante.¿qué ofrecemos?- excelente plan de compensación, muy por encima de la media del mercado.- posibilidad de trabajo remoto y con horarios flexibles.- planes de capacitación.- amplias posibilidades de crecimiento y desarrollo profesional gracias a nuestro sistema de mentorship.si está interesado en formar parte de un equipo compuesto por los mejores profesionales y trabajar 100% orientado a objetivos en un entorno innovador, pero con la estructura y los recursos de un líder de mercado multinacional, ¡no dude en postularse!"
